Date,Team 1,FT,HT,Team 2,Season
Fri Sep 11 2020,Rizespor,1-2,0-0,Fenerbahce,2020-21
Sat Sep 12 2020,Karagumruk,3-0,1-0,Yeni Malatyaspor,2020-21
Sat Sep 12 2020,Sivasspor,0-2,0-1,Alanyaspor,2020-21
Sat Sep 12 2020,Galatasaray,3-1,3-0,Gaziantep,2020-21
Sat Sep 12 2020,Goztep,5-1,3-0,Denizlispor,2020-21
Sun Sep 13 2020,Ankaragucu,1-2,0-0,Erzurum BB,2020-21
Sun Sep 13 2020,Kayserispor,1-0,1-0,Kasimpasa,2020-21
Sun Sep 13 2020,Antalyaspor,2-0,1-0,Genclerbirligi,2020-21
Sun Sep 13 2020,Trabzonspor,1-3,0-1,Besiktas,2020-21
Mon Sep 14 2020,Hatayspor,2-0,1-0,Buyuksehyr,2020-21
Fri Sep 18 2020,Yeni Malatyaspor,1-1,1-1,Goztep,2020-21
Sat Sep 19 2020,Genclerbirligi,0-0,0-0,Konyaspor,2020-21
Sat Sep 19 2020,Denizlispor,0-0,0-0,Trabzonspor,2020-21
Sat Sep 19 2020,Alanyaspor,2-0,1-0,Kayserispor,2020-21
Sat Sep 19 2020,Besiktas,1-1,1-0,Antalyaspor,2020-21
Sun Sep 20 2020,Erzurum BB,1-2,0-0,Sivasspor,2020-21
Sun Sep 20 2020,Kasimpasa,2-0,1-0,Rizespor,2020-21
Sun Sep 20 2020,Buyuksehyr,0-2,0-1,Galatasaray,2020-21
Sun Sep 20 2020,Gaziantep,2-2,0-1,Karagumruk,2020-21
Mon Sep 21 2020,Fenerbahce,0-0,0-0,Hatayspor,2020-21
Fri Sep 25 2020,Karagumruk,2-0,0-0,Buyuksehyr,2020-21
Sat Sep 26 2020,Kayserispor,1-3,0-2,Erzurum BB,2020-21
Sat Sep 26 2020,Goztep,2-2,0-1,Gaziantep,2020-21
Sat Sep 26 2020,Hatayspor,1-0,0-0,Kasimpasa,2020-21
Sat Sep 26 2020,Trabzonspor,3-1,3-0,Yeni Malatyaspor,2020-21
Sun Sep 27 2020,Rizespor,1-1,0-0,Alanyaspor,2020-21
Sun Sep 27 2020,Konyaspor,4-1,1-0,Besiktas,2020-21
Sun Sep 27 2020,Sivasspor,0-0,0-0,Ankaragucu,2020-21
Sun Sep 27 2020,Galatasaray,0-0,0-0,Fenerbahce,2020-21
Mon Sep 28 2020,Antalyaspor,1-0,0-0,Denizlispor,2020-21
Fri Oct 2 2020,Ankaragucu,0-1,0-1,Kayserispor,2020-21
Fri Oct 2 2020,Gaziantep,1-1,0-0,Trabzonspor,2020-21
Sat Oct 3 2020,Yeni Malatyaspor,1-0,1-0,Antalyaspor,2020-21
Sat Oct 3 2020,Buyuksehyr,0-0,0-0,Goztep,2020-21
Sat Oct 3 2020,Erzurum BB,0-0,0-0,Rizespor,2020-21
Sat Oct 3 2020,Fenerbahce,2-1,1-0,Karagumruk,2020-21
Sun Oct 4 2020,Denizlispor,0-0,0-0,Konyaspor,2020-21
Sun Oct 4 2020,Alanyaspor,6-0,4-0,Hatayspor,2020-21
Sun Oct 4 2020,Besiktas,0-1,0-1,Genclerbirligi,2020-21
Sun Oct 4 2020,Kasimpasa,1-0,1-0,Galatasaray,2020-21
Sat Oct 17 2020,Rizespor,5-3,2-3,Ankaragucu,2020-21
Sat Oct 17 2020,Kayserispor,1-3,0-1,Sivasspor,2020-21
Sat Oct 17 2020,Konyaspor,1-1,0-0,Yeni Malatyaspor,2020-21
Sat Oct 17 2020,Trabzonspor,0-2,0-1,Buyuksehyr,2020-21
Sun Oct 18 2020,Antalyaspor,1-1,1-0,Gaziantep,2020-21
Sun Oct 18 2020,Karagumruk,1-1,1-0,Kasimpasa,2020-21
Sun Oct 18 2020,Goztep,2-3,1-2,Fenerbahce,2020-21
Mon Oct 19 2020,Galatasaray,1-2,1-1,Alanyaspor,2020-21
Mon Oct 19 2020,Genclerbirligi,1-2,0-2,Denizlispor,2020-21
Fri Oct 23 2020,Kasimpasa,0-0,0-0,Goztep,2020-21
Sat Oct 24 2020,Gaziantep,1-0,0-0,Konyaspor,2020-21
Sat Oct 24 2020,Buyuksehyr,5-1,4-1,Antalyaspor,2020-21
Sat Oct 24 2020,Erzurum BB,1-2,1-1,Galatasaray,2020-21
Sun Oct 25 2020,Yeni Malatyaspor,2-1,1-1,Genclerbirligi,2020-21
Sun Oct 25 2020,Alanyaspor,2-0,1-0,Karagumruk,2020-21
Sun Oct 25 2020,Fenerbahce,3-1,0-1,Trabzonspor,2020-21
Mon Oct 26 2020,Denizlispor,2-3,0-2,Besiktas,2020-21
Mon Oct 26 2020,Sivasspor,0-2,0-1,Rizespor,2020-21
Fri Oct 30 2020,Karagumruk,5-1,3-0,Erzurum BB,2020-21
Fri Oct 30 2020,Trabzonspor,3-4,3-2,Kasimpasa,2020-21
Sat Oct 31 2020,Genclerbirligi,1-1,0-1,Gaziantep,2020-21
Sat Oct 31 2020,Galatasaray,1-0,1-0,Ankaragucu,2020-21
Sun Nov 1 2020,Rizespor,1-0,1-0,Kayserispor,2020-21
Sun Nov 1 2020,Konyaspor,1-2,0-1,Buyuksehyr,2020-21
Sun Nov 1 2020,Besiktas,1-0,0-0,Yeni Malatyaspor,2020-21
Mon Nov 2 2020,Antalyaspor,1-2,0-0,Fenerbahce,2020-21
Mon Nov 2 2020,Hatayspor,1-1,1-1,Sivasspor,2020-21
Fri Nov 6 2020,Gaziantep,3-1,1-0,Besiktas,2020-21
Sat Nov 7 2020,Kasimpasa,2-2,1-0,Antalyaspor,2020-21
Sat Nov 7 2020,Alanyaspor,1-1,0-0,Trabzonspor,2020-21
Sat Nov 7 2020,Erzurum BB,1-1,0-1,Goztep,2020-21
Sat Nov 7 2020,Fenerbahce,0-2,0-0,Konyaspor,2020-21
Sun Nov 8 2020,Ankaragucu,2-2,1-2,Karagumruk,2020-21
Sun Nov 8 2020,Yeni Malatyaspor,2-0,2-0,Denizlispor,2020-21
Sun Nov 8 2020,Buyuksehyr,2-1,0-1,Genclerbirligi,2020-21
Sun Nov 8 2020,Kayserispor,0-1,0-0,Hatayspor,2020-21
Sun Nov 8 2020,Sivasspor,1-2,0-1,Galatasaray,2020-21
Sat Nov 21 2020,Karagumruk,1-1,0-1,Sivasspor,2020-21
Sat Nov 21 2020,Denizlispor,0-1,0-1,Gaziantep,2020-21
Sat Nov 21 2020,Genclerbirligi,1-5,1-2,Fenerbahce,2020-21
Sat Nov 21 2020,Besiktas,3-2,2-0,Buyuksehyr,2020-21
Sun Nov 22 2020,Hatayspor,2-2,1-1,Rizespor,2020-21
Sun Nov 22 2020,Goztep,3-1,1-0,Ankaragucu,2020-21
Sun Nov 22 2020,Konyaspor,2-1,0-1,Kasimpasa,2020-21
Sun Nov 22 2020,Antalyaspor,0-2,0-0,Alanyaspor,2020-21
Sun Nov 22 2020,Trabzonspor,1-0,1-0,Erzurum BB,2020-21
Mon Nov 23 2020,Galatasaray,1-1,0-0,Kayserispor,2020-21
Fri Nov 27 2020,Ankaragucu,0-1,0-1,Trabzonspor,2020-21
Sat Nov 28 2020,Gaziantep,2-2,1-0,Yeni Malatyaspor,2020-21
Sat Nov 28 2020,Buyuksehyr,3-3,2-0,Denizlispor,2020-21
Sat Nov 28 2020,Rizespor,0-4,0-1,Galatasaray,2020-21
Sun Nov 29 2020,Erzurum BB,2-2,1-0,Antalyaspor,2020-21
Sun Nov 29 2020,Alanyaspor,1-0,1-0,Konyaspor,2020-21
Sun Nov 29 2020,Kasimpasa,2-0,2-0,Genclerbirligi,2020-21
Sun Nov 29 2020,Fenerbahce,3-4,1-2,Besiktas,2020-21
Mon Nov 30 2020,Kayserispor,0-0,0-0,Karagumruk,2020-21
Mon Nov 30 2020,Sivasspor,0-1,0-0,Goztep,2020-21
Fri Dec 4 2020,Besiktas,3-0,1-0,Kasimpasa,2020-21
Sat Dec 5 2020,Genclerbirligi,2-1,1-0,Alanyaspor,2020-21
Sat Dec 5 2020,Goztep,1-1,0-0,Kayserispor,2020-21
Sat Dec 5 2020,Konyaspor,2-0,1-0,Erzurum BB,2020-21
Sat Dec 5 2020,Yeni Malatyaspor,1-1,0-1,Buyuksehyr,2020-21
Sat Dec 5 2020,Galatasaray,3-0,1-0,Hatayspor,2020-21
Sun Dec 6 2020,Karagumruk,2-1,2-1,Rizespor,2020-21
Sun Dec 6 2020,Antalyaspor,1-0,1-0,Ankaragucu,2020-21
Sun Dec 6 2020,Denizlispor,0-2,0-2,Fenerbahce,2020-21
Mon Dec 7 2020,Trabzonspor,1-1,1-0,Sivasspor,2020-21
Wed Dec 9 2020,Goztep,1-0,0-0,Alanyaspor,2020-21
Wed Dec 9 2020,Hatayspor,3-0,1-0,Erzurum BB,2020-21
Fri Dec 11 2020,Kasimpasa,3-2,2-1,Denizlispor,2020-21
Sat Dec 12 2020,Hatayspor,3-1,1-0,Karagumruk,2020-21
Sat Dec 12 2020,Kayserispor,0-0,0-0,Trabzonspor,2020-21
Sat Dec 12 2020,Rizespor,3-2,1-0,Goztep,2020-21
Sat Dec 12 2020,Ankaragucu,4-3,1-2,Konyaspor,2020-21
Sat Dec 12 2020,Fenerbahce,0-3,0-2,Yeni Malatyaspor,2020-21
Sun Dec 13 2020,Erzurum BB,0-1,0-0,Genclerbirligi,2020-21
Sun Dec 13 2020,Alanyaspor,2-1,1-0,Besiktas,2020-21
Sun Dec 13 2020,Buyuksehyr,1-2,0-1,Gaziantep,2020-21
Mon Dec 14 2020,Sivasspor,0-0,0-0,Antalyaspor,2020-21
Tue Dec 15 2020,Ankaragucu,2-0,0-0,Hatayspor,2020-21
Fri Dec 18 2020,Karagumruk,2-1,0-0,Galatasaray,2020-21
Sat Dec 19 2020,Goztep,0-1,0-0,Hatayspor,2020-21
Sat Dec 19 2020,Trabzonspor,2-1,0-1,Rizespor,2020-21
Sat Dec 19 2020,Yeni Malatyaspor,2-0,1-0,Kasimpasa,2020-21
Sat Dec 19 2020,Gaziantep,3-1,2-1,Fenerbahce,2020-21
Sun Dec 20 2020,Genclerbirligi,1-1,0-0,Ankaragucu,2020-21
Sun Dec 20 2020,Denizlispor,1-0,1-0,Alanyaspor,2020-21
Sun Dec 20 2020,Besiktas,4-0,0-0,Erzurum BB,2020-21
Mon Dec 21 2020,Antalyaspor,2-0,2-0,Kayserispor,2020-21
Mon Dec 21 2020,Konyaspor,0-1,0-0,Sivasspor,2020-21
Tue Dec 22 2020,Hatayspor,0-1,0-0,Trabzonspor,2020-21
Tue Dec 22 2020,Galatasaray,3-1,2-1,Goztep,2020-21
Wed Dec 23 2020,Alanyaspor,1-1,1-0,Yeni Malatyaspor,2020-21
Wed Dec 23 2020,Erzurum BB,1-2,0-1,Denizlispor,2020-21
Wed Dec 23 2020,Fenerbahce,4-1,1-1,Buyuksehyr,2020-21
Wed Dec 23 2020,Kasimpasa,0-4,0-2,Gaziantep,2020-21
Thu Dec 24 2020,Kayserispor,1-2,1-0,Konyaspor,2020-21
Thu Dec 24 2020,Sivasspor,3-1,1-0,Genclerbirligi,2020-21
Thu Dec 24 2020,Ankaragucu,0-1,0-0,Besiktas,2020-21
Thu Dec 24 2020,Rizespor,2-1,1-0,Antalyaspor,2020-21
Sat Dec 26 2020,Goztep,1-1,1-0,Karagumruk,2020-21
Sat Dec 26 2020,Trabzonspor,0-2,0-1,Galatasaray,2020-21
Sun Dec 27 2020,Gaziantep,3-1,2-1,Alanyaspor,2020-21
Sun Dec 27 2020,Denizlispor,1-2,0-2,Ankaragucu,2020-21
Sun Dec 27 2020,Yeni Malatyaspor,1-3,0-1,Erzurum BB,2020-21
Sun Dec 27 2020,Buyuksehyr,2-2,1-1,Kasimpasa,2020-21
Mon Dec 28 2020,Genclerbirligi,3-2,1-1,Kayserispor,2020-21
Mon Dec 28 2020,Konyaspor,1-1,1-0,Rizespor,2020-21
Mon Dec 28 2020,Besiktas,3-0,1-0,Sivasspor,2020-21
Tue Dec 29 2020,Antalyaspor,0-6,0-5,Hatayspor,2020-21
Sat Jan 2 2021,Erzurum BB,1-1,0-0,Gaziantep,2020-21
Sat Jan 2 2021,Sivasspor,2-2,2-1,Denizlispor,2020-21
Sat Jan 2 2021,Alanyaspor,3-0,2-0,Buyuksehyr,2020-21
Sat Jan 2 2021,Ankaragucu,3-1,2-0,Yeni Malatyaspor,2020-21
Sat Jan 2 2021,Galatasaray,0-0,0-0,Antalyaspor,2020-21
Sat Jan 2 2021,Hatayspor,2-1,1-1,Konyaspor,2020-21
Sun Jan 3 2021,Rizespor,1-1,1-0,Genclerbirligi,2020-21
Sun Jan 3 2021,Karagumruk,1-2,0-0,Trabzonspor,2020-21
Sun Jan 3 2021,Kayserispor,0-2,0-0,Besiktas,2020-21
Mon Jan 4 2021,Kasimpasa,0-3,0-2,Fenerbahce,2020-21
Tue Jan 5 2021,Gaziantep,2-0,0-0,Ankaragucu,2020-21
Tue Jan 5 2021,Yeni Malatyaspor,2-2,1-2,Sivasspor,2020-21
Tue Jan 5 2021,Konyaspor,4-3,1-1,Galatasaray,2020-21
Wed Jan 6 2021,Denizlispor,0-1,0-1,Kayserispor,2020-21
Wed Jan 6 2021,Buyuksehyr,1-0,1-0,Erzurum BB,2020-21
Wed Jan 6 2021,Genclerbirligi,3-1,1-1,Hatayspor,2020-21
Wed Jan 6 2021,Trabzonspor,1-0,1-0,Goztep,2020-21
Wed Jan 6 2021,Antalyaspor,3-1,2-1,Karagumruk,2020-21
Wed Jan 6 2021,Besiktas,6-0,2-0,Rizespor,2020-21
Thu Jan 7 2021,Fenerbahce,2-1,1-0,Alanyaspor,2020-21
Sat Jan 9 2021,Sivasspor,2-1,1-1,Gaziantep,2020-21
Sat Jan 9 2021,Goztep,0-1,0-0,Antalyaspor,2020-21
Sat Jan 9 2021,Kayserispor,1-0,1-0,Yeni Malatyaspor,2020-21
Sat Jan 9 2021,Galatasaray,6-0,4-0,Genclerbirligi,2020-21
Sun Jan 10 2021,Karagumruk,2-1,0-0,Konyaspor,2020-21
Sun Jan 10 2021,Ankaragucu,1-2,1-1,Buyuksehyr,2020-21
Sun Jan 10 2021,Rizespor,1-1,0-1,Denizlispor,2020-21
Sun Jan 10 2021,Hatayspor,2-2,2-2,Besiktas,2020-21
Mon Jan 11 2021,Erzurum BB,0-3,0-1,Fenerbahce,2020-21
Mon Jan 11 2021,Alanyaspor,1-2,1-2,Kasimpasa,2020-21
Fri Jan 15 2021,Genclerbirligi,1-3,0-2,Karagumruk,2020-21
Sat Jan 16 2021,Konyaspor,2-3,0-2,Goztep,2020-21
Sat Jan 16 2021,Buyuksehyr,1-1,1-1,Sivasspor,2020-21
Sat Jan 16 2021,Gaziantep,2-1,1-0,Kayserispor,2020-21
Sat Jan 16 2021,Antalyaspor,1-1,1-0,Trabzonspor,2020-21
Sun Jan 17 2021,Denizlispor,0-2,0-0,Hatayspor,2020-21
Sun Jan 17 2021,Yeni Malatyaspor,4-1,0-1,Rizespor,2020-21
Sun Jan 17 2021,Besiktas,2-0,0-0,Galatasaray,2020-21
Mon Jan 18 2021,Fenerbahce,3-1,2-0,Ankaragucu,2020-21
Mon Jan 18 2021,Kasimpasa,1-2,0-1,Erzurum BB,2020-21
Tue Jan 19 2021,Goztep,4-0,3-0,Genclerbirligi,2020-21
Tue Jan 19 2021,Kayserispor,2-0,1-0,Buyuksehyr,2020-21
Tue Jan 19 2021,Trabzonspor,3-1,1-0,Konyaspor,2020-21
Wed Jan 20 2021,Hatayspor,1-2,0-0,Yeni Malatyaspor,2020-21
Wed Jan 20 2021,Rizespor,3-0,1-0,Gaziantep,2020-21
Wed Jan 20 2021,Galatasaray,6-1,3-0,Denizlispor,2020-21
Thu Jan 21 2021,Erzurum BB,1-1,1-0,Alanyaspor,2020-21
Thu Jan 21 2021,Karagumruk,1-4,0-1,Besiktas,2020-21
Thu Jan 21 2021,Ankaragucu,1-0,1-0,Kasimpasa,2020-21
Thu Jan 21 2021,Sivasspor,1-1,1-1,Fenerbahce,2020-21
Sat Jan 23 2021,Genclerbirligi,1-2,0-1,Trabzonspor,2020-21
Sat Jan 23 2021,Buyuksehyr,1-1,0-0,Rizespor,2020-21
Sun Jan 24 2021,Konyaspor,0-0,0-0,Antalyaspor,2020-21
Sun Jan 24 2021,Denizlispor,1-2,0-1,Karagumruk,2020-21
Sun Jan 24 2021,Yeni Malatyaspor,0-1,0-0,Galatasaray,2020-21
Sun Jan 24 2021,Besiktas,2-1,0-1,Goztep,2020-21
Sun Jan 24 2021,Gaziantep,1-1,1-0,Hatayspor,2020-21
Mon Jan 25 2021,Kasimpasa,2-0,2-0,Sivasspor,2020-21
Mon Jan 25 2021,Alanyaspor,4-3,1-2,Ankaragucu,2020-21
Mon Jan 25 2021,Fenerbahce,3-0,1-0,Kayserispor,2020-21
Fri Jan 29 2021,Yeni Malatyaspor,0-0,0-0,Karagumruk,2020-21
Fri Jan 29 2021,Gaziantep,1-2,0-0,Galatasaray,2020-21
Sat Jan 30 2021,Kasimpasa,0-1,0-0,Kayserispor,2020-21
Sat Jan 30 2021,Buyuksehyr,1-5,0-3,Hatayspor,2020-21
Sat Jan 30 2021,Fenerbahce,1-0,1-0,Rizespor,2020-21
Sun Jan 31 2021,Erzurum BB,1-0,0-0,Ankaragucu,2020-21
Sun Jan 31 2021,Alanyaspor,3-1,2-0,Sivasspor,2020-21
Sun Jan 31 2021,Denizlispor,2-1,1-0,Goztep,2020-21
Sun Jan 31 2021,Genclerbirligi,0-1,0-0,Antalyaspor,2020-21
Sun Jan 31 2021,Besiktas,1-2,1-1,Trabzonspor,2020-21
Tue Feb 2 2021,Hatayspor,1-2,0-1,Fenerbahce,2020-21
Tue Feb 2 2021,Galatasaray,3-0,1-0,Buyuksehyr,2020-21
Tue Feb 2 2021,Rizespor,1-1,0-0,Kasimpasa,2020-21
Wed Feb 3 2021,Sivasspor,0-0,0-0,Erzurum BB,2020-21
Wed Feb 3 2021,Karagumruk,2-0,0-0,Gaziantep,2020-21
Wed Feb 3 2021,Kayserispor,1-1,0-0,Alanyaspor,2020-21
Wed Feb 3 2021,Antalyaspor,1-1,1-0,Besiktas,2020-21
Wed Feb 3 2021,Konyaspor,0-0,0-0,Genclerbirligi,2020-21
Thu Feb 4 2021,Goztep,2-2,1-1,Yeni Malatyaspor,2020-21
Thu Feb 4 2021,Trabzonspor,1-0,0-0,Denizlispor,2020-21
Sat Feb 6 2021,Kasimpasa,1-4,0-1,Hatayspor,2020-21
Sat Feb 6 2021,Alanyaspor,2-1,1-1,Rizespor,2020-21
Sat Feb 6 2021,Buyuksehyr,0-1,0-0,Karagumruk,2020-21
Sat Feb 6 2021,Fenerbahce,0-1,0-0,Galatasaray,2020-21
Sun Feb 7 2021,Erzurum BB,1-1,1-0,Kayserispor,2020-21
Sun Feb 7 2021,Ankaragucu,1-4,0-1,Sivasspor,2020-21
Sun Feb 7 2021,Denizlispor,1-1,1-0,Antalyaspor,2020-21
Sun Feb 7 2021,Besiktas,1-0,0-0,Konyaspor,2020-21
Mon Feb 8 2021,Gaziantep,2-0,0-0,Goztep,2020-21
Mon Feb 8 2021,Yeni Malatyaspor,0-2,0-0,Trabzonspor,2020-21
Fri Feb 12 2021,Rizespor,0-2,0-0,Erzurum BB,2020-21
Sat Feb 13 2021,Kayserispor,0-0,0-0,Ankaragucu,2020-21
Sat Feb 13 2021,Trabzonspor,1-0,0-0,Gaziantep,2020-21
Sat Feb 13 2021,Karagumruk,1-2,0-1,Fenerbahce,2020-21
Sun Feb 14 2021,Konyaspor,2-0,0-0,Denizlispor,2020-21
Sun Feb 14 2021,Galatasaray,2-1,1-0,Kasimpasa,2020-21
Sun Feb 14 2021,Goztep,2-1,1-0,Buyuksehyr,2020-21
Sun Feb 14 2021,Hatayspor,0-0,0-0,Alanyaspor,2020-21
Mon Feb 15 2021,Genclerbirligi,0-3,0-1,Besiktas,2020-21
Mon Feb 15 2021,Antalyaspor,1-1,1-1,Yeni Malatyaspor,2020-21
Fri Feb 19 2021,Buyuksehyr,0-1,0-0,Trabzonspor,2020-21
Sat Feb 20 2021,Kasimpasa,3-2,1-1,Karagumruk,2020-21
Sat Feb 20 2021,Denizlispor,1-0,1-0,Genclerbirligi,2020-21
Sat Feb 20 2021,Yeni Malatyaspor,2-3,2-0,Konyaspor,2020-21
Sat Feb 20 2021,Alanyaspor,0-1,0-1,Galatasaray,2020-21
Sun Feb 21 2021,Erzurum BB,1-3,0-2,Hatayspor,2020-21
Sun Feb 21 2021,Gaziantep,0-0,0-0,Antalyaspor,2020-21
Sun Feb 21 2021,Sivasspor,2-0,1-0,Kayserispor,2020-21
Sun Feb 21 2021,Fenerbahce,0-1,0-1,Goztep,2020-21
Mon Feb 22 2021,Ankaragucu,1-1,1-1,Rizespor,2020-21
Fri Feb 26 2021,Genclerbirligi,1-1,0-1,Yeni Malatyaspor,2020-21
Fri Feb 26 2021,Konyaspor,0-0,0-0,Gaziantep,2020-21
Fri Feb 26 2021,Besiktas,3-0,3-0,Denizlispor,2020-21
Sat Feb 27 2021,Hatayspor,4-1,1-1,Ankaragucu,2020-21
Sat Feb 27 2021,Karagumruk,2-0,0-0,Alanyaspor,2020-21
Sat Feb 27 2021,Antalyaspor,0-0,0-0,Buyuksehyr,2020-21
Sat Feb 27 2021,Rizespor,0-0,0-0,Sivasspor,2020-21
Sat Feb 27 2021,Galatasaray,2-0,2-0,Erzurum BB,2020-21
Sun Feb 28 2021,Goztep,1-0,1-0,Kasimpasa,2020-21
Sun Feb 28 2021,Trabzonspor,0-1,0-0,Fenerbahce,2020-21
Tue Mar 2 2021,Gaziantep,2-1,0-1,Genclerbirligi,2020-21
Tue Mar 2 2021,Yeni Malatyaspor,0-1,0-0,Besiktas,2020-21
Wed Mar 3 2021,Erzurum BB,2-2,1-1,Karagumruk,2020-21
Wed Mar 3 2021,Buyuksehyr,1-1,0-0,Konyaspor,2020-21
Wed Mar 3 2021,Sivasspor,1-1,0-0,Hatayspor,2020-21
Wed Mar 3 2021,Ankaragucu,2-1,1-0,Galatasaray,2020-21
Wed Mar 3 2021,Kayserispor,2-1,0-0,Rizespor,2020-21
Thu Mar 4 2021,Alanyaspor,1-1,0-1,Goztep,2020-21
Thu Mar 4 2021,Kasimpasa,1-2,1-1,Trabzonspor,2020-21
Thu Mar 4 2021,Fenerbahce,1-1,0-1,Antalyaspor,2020-21
Sat Mar 6 2021,Denizlispor,3-2,2-1,Yeni Malatyaspor,2020-21
Sat Mar 6 2021,Besiktas,2-1,1-0,Gaziantep,2020-21
Sun Mar 7 2021,Karagumruk,0-1,0-0,Ankaragucu,2020-21
Sun Mar 7 2021,Genclerbirligi,0-1,0-0,Buyuksehyr,2020-21
Sun Mar 7 2021,Hatayspor,1-3,0-2,Kayserispor,2020-21
Sun Mar 7 2021,Galatasaray,2-2,1-2,Sivasspor,2020-21
Mon Mar 8 2021,Antalyaspor,1-1,1-0,Kasimpasa,2020-21
Mon Mar 8 2021,Trabzonspor,1-3,0-0,Alanyaspor,2020-21
Mon Mar 8 2021,Goztep,3-1,1-0,Erzurum BB,2020-21
Mon Mar 8 2021,Konyaspor,0-3,0-2,Fenerbahce,2020-21
Fri Mar 12 2021,Buyuksehyr,2-3,0-1,Besiktas,2020-21
Sat Mar 13 2021,Sivasspor,1-0,1-0,Karagumruk,2020-21
Sat Mar 13 2021,Alanyaspor,4-0,2-0,Antalyaspor,2020-21
Sat Mar 13 2021,Rizespor,1-0,0-0,Hatayspor,2020-21
Sat Mar 13 2021,Kayserispor,0-3,0-1,Galatasaray,2020-21
Sun Mar 14 2021,Ankaragucu,3-0,1-0,Goztep,2020-21
Sun Mar 14 2021,Erzurum BB,0-0,0-0,Trabzonspor,2020-21
Sun Mar 14 2021,Gaziantep,2-0,0-0,Denizlispor,2020-21
Sun Mar 14 2021,Fenerbahce,1-2,1-1,Genclerbirligi,2020-21
Mon Mar 15 2021,Kasimpasa,1-1,0-0,Konyaspor,2020-21
Fri Mar 19 2021,Karagumruk,3-0,1-0,Kayserispor,2020-21
Fri Mar 19 2021,Galatasaray,3-4,2-2,Rizespor,2020-21
Sat Mar 20 2021,Genclerbirligi,2-1,0-0,Kasimpasa,2020-21
Sat Mar 20 2021,Goztep,3-5,0-4,Sivasspor,2020-21
Sat Mar 20 2021,Yeni Malatyaspor,2-2,1-1,Gaziantep,2020-21
Sat Mar 20 2021,Trabzonspor,4-1,3-1,Ankaragucu,2020-21
Sun Mar 21 2021,Antalyaspor,3-1,0-1,Erzurum BB,2020-21
Sun Mar 21 2021,Konyaspor,1-0,1-0,Alanyaspor,2020-21
Sun Mar 21 2021,Denizlispor,0-0,0-0,Buyuksehyr,2020-21
Sun Mar 21 2021,Besiktas,1-1,0-0,Fenerbahce,2020-21
Sat Apr 3 2021,Kayserispor,1-1,1-0,Goztep,2020-21
Sat Apr 3 2021,Rizespor,0-0,0-0,Karagumruk,2020-21
Sat Apr 3 2021,Sivasspor,0-0,0-0,Trabzonspor,2020-21
Sat Apr 3 2021,Hatayspor,3-0,2-0,Galatasaray,2020-21
Sun Apr 4 2021,Erzurum BB,1-2,1-2,Konyaspor,2020-21
Sun Apr 4 2021,Alanyaspor,1-2,1-1,Genclerbirligi,2020-21
Sun Apr 4 2021,Ankaragucu,1-0,0-0,Antalyaspor,2020-21
Sun Apr 4 2021,Buyuksehyr,3-1,1-0,Yeni Malatyaspor,2020-21
Sun Apr 4 2021,Kasimpasa,1-0,1-0,Besiktas,2020-21
Mon Apr 5 2021,Fenerbahce,1-0,0-0,Denizlispor,2020-21
Tue Apr 6 2021,Goztep,2-0,0-0,Rizespor,2020-21
Tue Apr 6 2021,Karagumruk,1-0,0-0,Hatayspor,2020-21
Tue Apr 6 2021,Trabzonspor,1-1,1-1,Kayserispor,2020-21
Wed Apr 7 2021,Genclerbirligi,1-1,1-0,Erzurum BB,2020-21
Wed Apr 7 2021,Konyaspor,1-1,0-0,Ankaragucu,2020-21
Wed Apr 7 2021,Antalyaspor,2-4,1-2,Sivasspor,2020-21
Wed Apr 7 2021,Besiktas,3-0,1-0,Alanyaspor,2020-21
Thu Apr 8 2021,Denizlispor,1-1,0-0,Kasimpasa,2020-21
Thu Apr 8 2021,Gaziantep,2-0,1-0,Buyuksehyr,2020-21
Thu Apr 8 2021,Yeni Malatyaspor,1-1,1-1,Fenerbahce,2020-21
Sat Apr 10 2021,Hatayspor,2-3,0-2,Goztep,2020-21
Sat Apr 10 2021,Rizespor,0-0,0-0,Trabzonspor,2020-21
Sat Apr 10 2021,Galatasaray,1-1,0-0,Karagumruk,2020-21
Sun Apr 11 2021,Sivasspor,3-1,1-0,Konyaspor,2020-21
Sun Apr 11 2021,Ankaragucu,2-1,0-0,Genclerbirligi,2020-21
Sun Apr 11 2021,Kayserispor,0-1,0-1,Antalyaspor,2020-21
Sun Apr 11 2021,Erzurum BB,2-4,2-2,Besiktas,2020-21
Mon Apr 12 2021,Kasimpasa,0-0,0-0,Yeni Malatyaspor,2020-21
Mon Apr 12 2021,Alanyaspor,3-2,0-1,Denizlispor,2020-21
Mon Apr 12 2021,Fenerbahce,3-1,0-0,Gaziantep,2020-21
Fri Apr 16 2021,Genclerbirligi,2-3,2-0,Sivasspor,2020-21
Fri Apr 16 2021,Konyaspor,0-0,0-0,Kayserispor,2020-21
Fri Apr 16 2021,Antalyaspor,2-3,1-2,Rizespor,2020-21
Fri Apr 16 2021,Besiktas,2-2,1-0,Ankaragucu,2020-21
Sat Apr 17 2021,Denizlispor,2-3,0-1,Erzurum BB,2020-21
Sat Apr 17 2021,Trabzonspor,1-1,1-0,Hatayspor,2020-21
Sat Apr 17 2021,Yeni Malatyaspor,1-0,0-0,Alanyaspor,2020-21
Sat Apr 17 2021,Goztep,1-3,1-2,Galatasaray,2020-21
